target_cohort,method,baseline,metric,n_pairs,mean_delta,ci_low,ci_high,interpretation
largest_pii,ols_m8,raw,geometry_cosine,2,-0.009292691946029663,-0.009355723857879639,-0.009229660034179688,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,raw,recovered_text_embedding_cosine,2,0.02391129732131958,-0.02648109197616577,0.07430368661880493,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,raw,recovered_text_embedding_cosine,2,-0.08886483311653137,-0.2038024663925171,0.026072800159454346,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,raw,token_f1,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,raw,token_f1,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,raw,bleu,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,raw,bleu,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,raw,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,raw,geometry_cosine,2,-5.960464477539063e-08,-1.1920928955078125e-07,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,raw,geometry_cosine,2,-5.960464477539063e-08,-1.1920928955078125e-07,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,raw,recovered_text_embedding_cosine,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,raw,recovered_text_embedding_cosine,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,prefix_only,raw,token_f1,2,0.010436227069189563,-0.05055611729019227,0.0714285714285714,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,prefix_only,raw,token_f1,2,-0.07523809523809523,-0.13333333333333333,-0.017142857142857126,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,prefix_only,raw,bleu,2,-0.03337946048223646,-0.12575129237535287,0.05899237141087996,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,prefix_only,raw,bleu,2,-0.00976111916785849,-0.009960757894433847,-0.00956148044128313,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,prefix_only,raw,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,prefix_only,raw,geometry_cosine,2,-0.010000020265579224,-0.016871273517608643,-0.0031287670135498047,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,prefix_only,raw,geometry_cosine,2,-0.010816574096679688,-0.012051105499267578,-0.009582042694091797,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,prefix_only,raw,recovered_text_embedding_cosine,2,-0.030946433544158936,-0.04434090852737427,-0.017551958560943604,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,prefix_only,raw,recovered_text_embedding_cosine,2,-0.15157648921012878,-0.20981186628341675,-0.09334111213684082,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,raw,token_f1,2,-0.018633540372670787,-0.18012422360248448,0.1428571428571429,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,raw,token_f1,2,0.0884380032206119,0.04057971014492753,0.13629629629629628,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,raw,bleu,2,-0.07132470509206584,-0.16273420314160805,0.02008479295747638,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,raw,bleu,2,0.019469744935745575,0.018262861335407395,0.020676628536083756,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,raw,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,raw,geometry_cosine,2,-0.015175104141235352,-0.02505093812942505,-0.005299270153045654,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,raw,geometry_cosine,2,-0.016458183526992798,-0.017206966876983643,-0.015709400177001953,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,raw,recovered_text_embedding_cosine,2,-0.03503730893135071,-0.11143320798873901,0.0413585901260376,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,raw,recovered_text_embedding_cosine,2,-0.07727226614952087,-0.114815354347229,-0.039729177951812744,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,raw,token_f1,2,-0.0491890959282264,-0.11980676328502421,0.021428571428571408,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,raw,token_f1,2,-0.10318840579710145,-0.16,-0.0463768115942029,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,raw,bleu,2,-0.08731956522780412,-0.13508966979340986,-0.039549460662198374,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,raw,bleu,2,-0.014031063340301332,-0.028731570526769397,0.0006694438461667326,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,raw,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,raw,geometry_cosine,2,-0.02031382918357849,-0.03438544273376465,-0.006242215633392334,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,raw,geometry_cosine,2,-0.021978050470352173,-0.025584697723388672,-0.018371403217315674,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,raw,recovered_text_embedding_cosine,2,-0.01181882619857788,-0.029598653316497803,0.005961000919342041,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,raw,recovered_text_embedding_cosine,2,-0.24618560075759888,-0.47511476278305054,-0.017256438732147217,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,prefix_only,token_f1,2,-0.039727363813742506,-0.06925064599483194,-0.010204081632653073,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,prefix_only,token_f1,2,0.0026455026455026315,-0.06878306878306881,0.07407407407407407,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,prefix_only,bleu,2,-0.01961210240275668,-0.03760050704241821,-0.00162369776309515,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,prefix_only,bleu,2,0.011564395199861886,0.010215306689982299,0.01291348370974147,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,prefix_only,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,prefix_only,geometry_cosine,2,0.0026453137397766113,0.0006303191184997559,0.004660308361053467,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,prefix_only,geometry_cosine,2,0.002615004777908325,0.0010471343994140625,0.004182875156402588,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m16,prefix_only,recovered_text_embedding_cosine,2,0.029404938220977783,-0.002858281135559082,0.06166815757751465,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m16,prefix_only,recovered_text_embedding_cosine,2,0.08647891879081726,-0.0019732117652893066,0.17493104934692383,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,prefix_only,token_f1,2,-0.025725285836509237,-0.1668351870576339,0.11538461538461542,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,prefix_only,token_f1,2,0.04253154253154251,-0.06878306878306881,0.15384615384615383,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,prefix_only,bleu,2,-0.010034139628496822,-0.011006200873842298,-0.009062078383151345,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,prefix_only,bleu,2,0.007312415929127025,0.002529921049873436,0.012094910808380615,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,prefix_only,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,prefix_only,geometry_cosine,2,0.0014430582523345947,0.0003478527069091797,0.0025382637977600098,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,prefix_only,geometry_cosine,2,0.0015238821506500244,0.0002263188362121582,0.0028214454650878906,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,ols_m8,prefix_only,recovered_text_embedding_cosine,2,0.054857730865478516,0.017859816551208496,0.09185564517974854,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,ols_m8,prefix_only,recovered_text_embedding_cosine,2,0.06271165609359741,-0.11046135425567627,0.2358846664428711,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,prefix_only,token_f1,2,-0.010436227069189563,-0.0714285714285714,0.05055611729019227,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,prefix_only,token_f1,2,0.07523809523809523,0.017142857142857126,0.13333333333333333,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,prefix_only,bleu,2,0.03337946048223646,-0.05899237141087996,0.12575129237535287,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,prefix_only,bleu,2,0.00976111916785849,0.00956148044128313,0.009960757894433847,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,prefix_only,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,prefix_only,geometry_cosine,2,0.009999960660934448,0.003128647804260254,0.016871273517608643,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,prefix_only,geometry_cosine,2,0.010816514492034912,0.009582042694091797,0.012050986289978027,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,oracle_residual,prefix_only,recovered_text_embedding_cosine,2,0.030946433544158936,0.017551958560943604,0.04434090852737427,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,oracle_residual,prefix_only,recovered_text_embedding_cosine,2,0.15157648921012878,0.09334111213684082,0.20981186628341675,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,prefix_only,token_f1,2,-0.02906976744186035,-0.1295681063122922,0.07142857142857151,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,prefix_only,token_f1,2,0.16367609845870712,0.1534391534391534,0.17391304347826086,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,prefix_only,bleu,2,-0.03794524460982938,-0.03890757845340358,-0.03698291076625518,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,prefix_only,bleu,2,0.029230864103604065,0.02822361922984124,0.03023810897736689,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,prefix_only,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,prefix_only,geometry_cosine,2,-0.005175083875656128,-0.008179664611816406,-0.0021705031394958496,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,prefix_only,geometry_cosine,2,-0.00564160943031311,-0.007624924182891846,-0.003658294677734375,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,procrustes_m16,prefix_only,recovered_text_embedding_cosine,2,-0.0040908753871917725,-0.06709229946136475,0.0589105486869812,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,procrustes_m16,prefix_only,recovered_text_embedding_cosine,2,0.07430422306060791,0.053611934185028076,0.09499651193618774,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,raw,prefix_only,token_f1,2,-0.010436227069189563,-0.0714285714285714,0.05055611729019227,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,raw,prefix_only,token_f1,2,0.07523809523809523,0.017142857142857126,0.13333333333333333,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,raw,prefix_only,bleu,2,0.03337946048223646,-0.05899237141087996,0.12575129237535287,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,raw,prefix_only,bleu,2,0.00976111916785849,0.00956148044128313,0.009960757894433847,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,raw,prefix_only,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,raw,prefix_only,geometry_cosine,2,0.010000020265579224,0.0031287670135498047,0.016871273517608643,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,raw,prefix_only,geometry_cosine,2,0.010816574096679688,0.009582042694091797,0.012051105499267578,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,raw,prefix_only,recovered_text_embedding_cosine,2,0.030946433544158936,0.017551958560943604,0.04434090852737427,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,raw,prefix_only,recovered_text_embedding_cosine,2,0.15157648921012878,0.09334111213684082,0.20981186628341675,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,prefix_only,token_f1,2,-0.059625322997415964,-0.06925064599483194,-0.04999999999999999,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,prefix_only,token_f1,2,-0.027950310559006222,-0.14285714285714288,0.08695652173913043,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,prefix_only,bleu,2,-0.053940104745567666,-0.09854183207307833,-0.009338377418057,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,prefix_only,bleu,2,-0.004269944172442843,-0.01877081263233555,0.010230924287449863,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,prefix_only,pii_identifier_recall,2,0.0,0.0,0.0,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,prefix_only,geometry_cosine,2,-0.010313808917999268,-0.017514169216156006,-0.0031134486198425293,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,prefix_only,geometry_cosine,2,-0.011161476373672485,-0.013533592224121094,-0.008789360523223877,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest,unknown_key,prefix_only,recovered_text_embedding_cosine,2,0.019127607345581055,0.014742255210876465,0.023512959480285645,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
largest_pii,unknown_key,prefix_only,recovered_text_embedding_cosine,2,-0.09460911154747009,-0.3817736506462097,0.19255542755126953,descriptive conditional paired delta; interval is not a significance test with only two geometry designs
